date,AFKS,AFLT,ALRS,BSPB,CHMF,GAZP,GMKN,LKOH,MAGN,MGNT,MOEX,MTLR,MTSS,MVID,NLMK,NVTK,PHOR,PIKK,PLZL,ROSN,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,TATN,TATNP,TRNFP,VTBR
2015-01-05,12.25,33.21,60.38,24.6,522.0,133.95,85.9,2295.0,11.279,9877.0,60.4,24.97,174.7,135.5,66.285,455.5,1784.0,191.7,100.05,196.75,56.37,38.59,4.595,142.0,24.24,29.6,238.0,134.7,1301.0,337.5
2015-01-06,12.37,33.07,61.28,25.6,556.9,138.92,91.01,2345.0,11.55,10400.0,61.9,25.3,179.9,146.0,66.7,476.7,1855.0,198.9,104.7,200.3,58.28,39.5,4.5,144.6,25.015,30.195,228.75,135.3,1429.9,333.3
2015-01-08,12.6,35.17,60.2,26.5,542.7,146.46,95.5,2572.0,12.35,10627.0,61.9,26.4,190.05,148.5,67.41,483.0,1776.0,191.2,106.0,214.95,65.7,43.75,4.595,148.1,26.265,31.6,245.0,136.0,1300.0,337.05
2015-01-09,12.61,34.0,61.91,26.15,548.55,141.7,97.4,2461.0,12.1,10542.0,60.14,26.5,195.0,145.9,67.9,475.1,1798.0,192.7,105.0,206.6,63.1,42.9,4.555,146.6,25.65,32.01,234.05,134.5,1208.2,326.55
2015-01-12,12.13,34.45,63.0,25.7,558.45,140.22,98.39,2477.0,11.893,10689.0,59.59,26.4,193.0,141.7,70.12,470.7,1795.0,188.0,102.0,204.0,62.9,42.41,4.65,143.1,25.45,31.36,228.25,133.3,1280.0,317.65000000000003
2015-01-13,12.25,35.0,66.4,25.55,583.0,142.64,100.25,2522.0,12.38,11180.0,58.51,25.0,204.5,136.9,72.505,489.4,1843.0,195.4,103.55,204.9,60.31,40.82,4.695,143.8,25.6,32.3,234.7,133.8,1309.9,302.5
2015-01-14,12.6,36.55,71.7,25.4,595.0,146.3,96.0,2588.0,12.546,11450.0,61.22,25.25,210.2,136.5,72.35,497.9,1867.0,192.8,102.4,209.5,60.05,41.5,4.48,142.9,25.835,32.7,244.55,132.2,1319.1,300.5
2015-01-15,12.54,36.65,68.6,24.9,577.0,147.0,92.9,2618.9,12.28,11304.0,61.8,26.13,216.5,135.0,75.18,483.2,1890.0,189.8,104.5,219.9,61.8,41.7,4.305,142.6,25.99,32.82,251.3,137.5,1300.0,313.65
2015-01-16,12.43,36.05,69.55,24.85,587.9,149.6,95.61,2736.0,12.151,11350.0,62.5,26.28,215.8,132.0,75.7,490.0,1955.0,194.1,107.6,226.0,61.99,42.03,4.275,144.0,26.15,34.25,260.0,137.3,1309.8,326.1
2015-01-19,12.48,36.34,69.7,24.75,589.0,148.11,94.17,2640.0,12.24,11235.0,63.45,26.8,215.0,127.5,75.43,487.0,2008.0,188.7,109.0,225.3,61.8,42.09,4.345,146.7,26.3,34.9,261.0,136.7,1297.9,320.05
2015-01-20,12.5,37.2,71.0,24.6,586.9,145.75,94.7,2628.7,12.366,11395.0,62.0,27.23,214.15,128.3,76.85,475.0,2054.0,188.1,111.9,227.0,60.8,42.24,4.25,150.1,26.6,36.4,257.0,137.4,1309.0,310.5
2015-01-21,12.63,38.1,76.5,25.8,592.0,148.8,96.75,2752.0,12.405,11855.0,64.5,32.15,222.95,140.5,76.47,490.4,2080.0,188.0,112.0,234.6,62.8,43.29,3.935,154.3,28.38,36.8,275.0,140.9,1309.0,317.5
2015-01-22,13.6,39.55,77.5,26.45,599.5,151.5,103.86,2820.0,12.8,12070.0,68.0,35.55,227.0,148.2,79.895,523.7,2111.0,188.0,111.9,241.8,64.35,44.8,4.085,155.5,29.95,38.1,287.3,150.9,1325.0,318.09999999999997
